subject,l2_mean_sct_discs,l2_std_sct_discs,z_mean_sct_discs,z_std_sct_discs,TPR_sct_discs,FPR_sct_discs,TNR_sct_discs,FNR_sct_discs,ACC_sct_discs,DSC_sct_discs,tot_discs,tot_pred_sct_discs,MSE_sct_discs,l2_mean_spinenet,l2_std_spinenet,z_mean_spinenet,z_std_spinenet,TPR_spinenet,FPR_spinenet,TNR_spinenet,FNR_spinenet,ACC_spinenet,DSC_spinenet,tot_pred_spinenet,MSE_spinenet,l2_mean_nnunet_coords_101,l2_std_nnunet_coords_101,z_mean_nnunet_coords_101,z_std_nnunet_coords_101,TPR_nnunet_coords_101,FPR_nnunet_coords_101,TNR_nnunet_coords_101,FNR_nnunet_coords_101,ACC_nnunet_coords_101,DSC_nnunet_coords_101,tot_pred_nnunet_coords_101,MSE_nnunet_coords_101,l2_mean_nnunet_coords_102,l2_std_nnunet_coords_102,z_mean_nnunet_coords_102,z_std_nnunet_coords_102,TPR_nnunet_coords_102,FPR_nnunet_coords_102,TNR_nnunet_coords_102,FNR_nnunet_coords_102,ACC_nnunet_coords_102,DSC_nnunet_coords_102,tot_pred_nnunet_coords_102,MSE_nnunet_coords_102,l2_mean_nnunet_coords_200,l2_std_nnunet_coords_200,z_mean_nnunet_coords_200,z_std_nnunet_coords_200,TPR_nnunet_coords_200,FPR_nnunet_coords_200,TNR_nnunet_coords_200,FNR_nnunet_coords_200,ACC_nnunet_coords_200,DSC_nnunet_coords_200,tot_pred_nnunet_coords_200,MSE_nnunet_coords_200,l2_mean_nnunet_coords_201,l2_std_nnunet_coords_201,z_mean_nnunet_coords_201,z_std_nnunet_coords_201,TPR_nnunet_coords_201,FPR_nnunet_coords_201,TNR_nnunet_coords_201,FNR_nnunet_coords_201,ACC_nnunet_coords_201,DSC_nnunet_coords_201,tot_pred_nnunet_coords_201,MSE_nnunet_coords_201,l2_mean_hourglass_t1,l2_std_hourglass_t1,z_mean_hourglass_t1,z_std_hourglass_t1,TPR_hourglass_t1,FPR_hourglass_t1,TNR_hourglass_t1,FNR_hourglass_t1,ACC_hourglass_t1,DSC_hourglass_t1,tot_pred_hourglass_t1,MSE_hourglass_t1,l2_mean_hourglass_t2,l2_std_hourglass_t2,z_mean_hourglass_t2,z_std_hourglass_t2,TPR_hourglass_t2,FPR_hourglass_t2,TNR_hourglass_t2,FNR_hourglass_t2,ACC_hourglass_t2,DSC_hourglass_t2,tot_pred_hourglass_t2,MSE_hourglass_t2,l2_mean_hourglass_t1_t2,l2_std_hourglass_t1_t2,z_mean_hourglass_t1_t2,z_std_hourglass_t1_t2,TPR_hourglass_t1_t2,FPR_hourglass_t1_t2,TNR_hourglass_t1_t2,FNR_hourglass_t1_t2,ACC_hourglass_t1_t2,DSC_hourglass_t1_t2,tot_pred_hourglass_t1_t2,MSE_hourglass_t1_t2
sub-bwh074_acq-sag,9.281036659287885,6.918262681407405,9.11111111111111,6.951329919829801,1.0,0.0,1.0,0.0,1.0,1.0,9,9,134.0,2.2672116560953928,1.8905123699015833,2.0,1.927248223318863,0.7777777777777778,0.0,1.0,0.2222222222222222,0.8571428571428571,0.875,7,8.714285714285714,5.207032862249287,2.9327622620563205,5.0,2.8284271247461903,0.7777777777777778,0.0,1.0,0.2222222222222222,0.8571428571428571,0.875,7,35.714285714285715,6.628188361411205,1.163113636480687,6.428571428571429,1.1780301787479033,0.7777777777777778,0.0,1.0,0.2222222222222222,0.8571428571428571,0.875,7,45.285714285714285,2.23606797749979,0.0,2.0,0.0,0.1111111111111111,0.0,1.0,0.8888888888888888,0.42857142857142855,0.2,1,5.000000000000001,45.786742653479926,34.33218893668159,44.25,32.6640092456514,0.8888888888888888,0.8,0.2,0.1111111111111111,0.6428571428571429,0.7619047619047619,12,3275.125,0,0,0,0,0.0,0.0,1.0,1.0,0.35714285714285715,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.35714285714285715,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.35714285714285715,0.0,0,nan
sub-lyonOfsep014_acq-sag,4.214548450859225,4.598551104908046,4.090909090909091,4.601472994488641,0.7333333333333333,0.0,1.0,0.26666666666666666,0.75,0.8461538461538461,15,11,38.90909090909091,2.8538470384271437,1.6436882086984947,2.6153846153846154,1.5951108733329016,0.8666666666666667,1.0,0.0,0.13333333333333333,0.8125,0.896551724137931,14,10.846153846153847,6.595919271491823,9.565241709646587,6.222222222222222,9.11382073529328,0.6,0.0,1.0,0.4,0.625,0.75,9,134.99999999999997,2.8699879311450314,1.939888985246801,2.6923076923076925,1.7709022204955904,0.8666666666666667,0.0,1.0,0.13333333333333333,0.875,0.9285714285714286,13,12.0,11.704699910719626,0.0,11.0,0.0,0.06666666666666667,0.0,1.0,0.9333333333333333,0.125,0.125,1,137.0,7.641926660838835,9.882934052283723,7.5,9.868781948288104,0.9333333333333333,0.0,1.0,0.06666666666666667,0.9375,0.9655172413793104,14,156.07142857142858,0,0,0,0,0.0,0.0,1.0,1.0,0.0625,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.0625,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.0625,0.0,0,nan
sub-lyonOfsep015_acq-sag,3.376062672387114,1.8979464776737984,3.1875,1.911110606427582,1.0,1,0,0.0,1.0,1.0,16,16,14.999999999999998,1.307183077124698,0.6022466058911231,1.1428571428571428,0.6388765649999398,0.875,1,0,0.125,0.875,0.9333333333333333,14,2.0714285714285716,1.694059733361272,1.1629203936754053,1.4444444444444444,1.0657403385139377,0.5625,1,0,0.4375,0.5625,0.72,9,4.222222222222222,1.6604669714465319,1.177160388219178,1.5,1.118033988749895,0.875,1,0,0.125,0.875,0.9333333333333333,14,4.142857142857143,1.4142135623730951,0.0,1.0,0.0,0.0625,1,0,0.9375,0.0625,0.11764705882352941,1,2.0000000000000004,20.1424866879716,8.480748031143477,19.285714285714285,8.13658906622751,0.875,1,0,0.125,0.875,0.9333333333333333,14,477.64285714285717,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan
sub-lyonOfsep036_acq-sag,3.6503447126525264,5.236886811724094,3.4166666666666665,5.235429516498356,0.75,0.0,1.0,0.25,0.7647058823529411,0.8571428571428571,16,12,40.75,1.5637801590708693,1.0269331108189506,1.3571428571428572,1.0424656799518874,0.875,0.0,1.0,0.125,0.8823529411764706,0.9333333333333333,14,3.5,3.941440354866427,3.983095269891296,3.8,3.9698866482558413,0.625,1.0,0.0,0.375,0.5882352941176471,0.7407407407407407,11,31.4,1.398996168966558,1.2130050073220322,1.2857142857142858,1.1605769149479943,0.875,0.0,1.0,0.125,0.8823529411764706,0.9333333333333333,14,3.4285714285714284,65.62011886609167,0.0,65.0,0.0,0.0625,0.0,1.0,0.9375,0.11764705882352941,0.11764705882352941,1,4306.0,22.99977817510099,10.954916882210844,22.166666666666668,10.486764144492914,0.75,0.0,1.0,0.25,0.7647058823529411,0.8571428571428571,12,649.0,0,0,0,0,0.0,0.0,1.0,1.0,0.058823529411764705,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.058823529411764705,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.058823529411764705,0.0,0,nan
sub-lyonOfsep046_acq-sag,4.217199207377165,4.792205217360522,4.125,4.807221130757353,1.0,1,0,0.0,1.0,1.0,16,16,40.75,1.958680056916473,1.0048513724882544,1.8461538461538463,1.0262818510866412,0.8125,1,0,0.1875,0.8125,0.896551724137931,13,4.846153846153846,8.819483963753669,14.474691796825654,8.5,13.966030216206752,0.625,1,0,0.375,0.625,0.7692307692307693,10,287.3,32.90956974703835,5.820936006167348,31.76923076923077,5.872410671997635,0.8125,1,0,0.1875,0.8125,0.896551724137931,13,1116.923076923077,129.4488315899375,0.0,121.0,0.0,0.0625,1,0,0.9375,0.0625,0.11764705882352941,1,16757.0,25.123156608900572,13.738634536508082,24.384615384615383,13.550693774679875,0.8125,1,0,0.1875,0.8125,0.896551724137931,13,819.9230769230769,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan
sub-lyonOfsep052_acq-sag,364.1795346276244,6.603021409950027,354.3333333333333,5.792715732327589,0.17647058823529413,0.0,1.0,0.8235294117647058,0.36363636363636365,0.3,17,3,132670.33333333334,3.23359092668866,5.412382998166037,3.0,5.1478150704935,0.7058823529411765,0.0,1.0,0.29411764705882354,0.7727272727272727,0.8275862068965517,12,39.74999999999999,33.411493676864474,26.006513740744097,32.166666666666664,24.93602926601498,0.35294117647058826,0.0,1.0,0.6470588235294118,0.5,0.5217391304347826,6,1792.6666666666667,26.714019365630755,5.631901294398528,25.428571428571427,5.936741358622899,0.8235294117647058,0.0,1.0,0.17647058823529413,0.8636363636363636,0.9032258064516129,14,745.3571428571429,2.23606797749979,0.0,2.0,0.0,0.058823529411764705,0.0,1.0,0.9411764705882353,0.2727272727272727,0.1111111111111111,1,5.000000000000001,60.79657560516398,54.39923156337395,57.142857142857146,53.6201683042826,0.8235294117647058,1.0,0.0,0.17647058823529413,0.6363636363636364,0.7777777777777778,19,6655.5,0,0,0,0,0.0,0.0,1.0,1.0,0.22727272727272727,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.22727272727272727,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.22727272727272727,0.0,0,nan
sub-lyonOfsep055_acq-sag,3.6872114666876197,3.849823147443788,3.5,3.926406329796582,0.7058823529411765,0.0,1.0,0.29411764705882354,0.75,0.8275862068965517,17,12,28.416666666666668,2.0569273413564235,1.817246060860699,1.7333333333333334,1.8785337071473827,0.8823529411764706,0.0,1.0,0.11764705882352941,0.9,0.9375,15,7.533333333333333,11.145346150823224,20.901306000144185,11.0,20.952326839756964,0.7058823529411765,0.0,1.0,0.29411764705882354,0.75,0.8275862068965517,12,561.0833333333334,2.3184489659917187,2.675467758248128,2.2,2.6127890589687235,0.8823529411764706,0.0,1.0,0.11764705882352941,0.9,0.9375,15,12.533333333333333,1.0,0.0,1.0,0.0,0.058823529411764705,0.0,1.0,0.9411764705882353,0.2,0.1111111111111111,1,1.0,49.02109998266353,31.435358380169713,47.375,31.594847285593897,0.9411764705882353,0.6666666666666666,0.3333333333333333,0.058823529411764705,0.85,0.9142857142857143,18,3391.25,0,0,0,0,0.0,0.0,1.0,1.0,0.15,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.15,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.15,0.0,0,nan
sub-lyonOfsep062_acq-sag,2.983817139534957,4.3268736147266225,2.875,4.357106264483344,1.0,0.0,1.0,0.0,1.0,1.0,16,16,27.624999999999996,1.3050994148360986,1.1387341732794682,1.2,1.16619037896906,0.9375,0.0,1.0,0.0625,0.96,0.967741935483871,15,3.0,3.521636514414949,4.173279055912887,3.4545454545454546,4.185768884807759,0.6875,0.0,1.0,0.3125,0.8,0.8148148148148148,11,29.818181818181817,1.6160798857201808,1.0835128465712502,1.5,1.0522085616183026,0.875,0.0,1.0,0.125,0.92,0.9333333333333333,14,3.785714285714286,0.0,0.0,0.0,0.0,0.0625,0.0,1.0,0.9375,0.4,0.11764705882352941,1,0.0,60.82160399689185,60.06888503030276,58.0,57.346450497091666,0.8125,1.0,0.0,0.1875,0.52,0.6842105263157895,22,7307.538461538462,0,0,0,0,0.0,0.0,1.0,1.0,0.36,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.36,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.36,0.0,0,nan
sub-lyonOfsep065_acq-sag,0,0,0,0,0.0,1,0,1.0,0.0,0.0,18,0,nan,2.343814804192241,1.794663722800181,2.0,1.9639610121239315,0.7777777777777778,1,0,0.2222222222222222,0.7777777777777778,0.875,14,8.714285714285714,18.834058231428426,23.98148418819186,18.333333333333332,24.05318181770461,0.6666666666666666,1,0,0.3333333333333333,0.6666666666666666,0.8,12,929.8333333333331,2.2858194924023545,1.6658419037091854,2.0625,1.6758859597239903,0.8888888888888888,1,0,0.1111111111111111,0.8888888888888888,0.9411764705882353,16,8.0,2.0,0.0,2.0,0.0,0.05555555555555555,1,0,0.9444444444444444,0.05555555555555555,0.10526315789473684,1,4.0,50.218232054173654,32.31642603344911,47.111111111111114,29.73379836872677,0.5,1,0,0.5,0.5,0.6666666666666666,9,3566.2222222222217,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan
sub-lyonOfsep076_acq-sag,20.663679578547683,15.759948687694,19.454545454545453,14.9506073842177,0.6470588235294118,1,0,0.35294117647058826,0.6470588235294118,0.7857142857142857,17,11,675.3636363636364,1.9664323891142679,1.4605285546822946,1.8666666666666667,1.3597385369580761,0.8823529411764706,1,0,0.11764705882352941,0.8823529411764706,0.9375,15,6.0,7.1539994372372435,9.371248158703791,6.818181818181818,9.271835964293174,0.6470588235294118,1,0,0.35294117647058826,0.6470588235294118,0.7857142857142857,11,139.0,2.895300462595964,2.698870485584342,2.7333333333333334,2.6449112566503166,0.8823529411764706,1,0,0.11764705882352941,0.8823529411764706,0.9375,15,15.666666666666666,9.486832980505138,0.0,9.0,0.0,0.058823529411764705,1,0,0.9411764705882353,0.058823529411764705,0.1111111111111111,1,90.0,51.26883276952501,34.58135947030011,48.18181818181818,31.66534722494028,0.6470588235294118,1,0,0.35294117647058826,0.6470588235294118,0.7857142857142857,11,3824.3636363636365,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan
